time_utc,pair,strategy,session_gate,spread_gate,news_gate,open_pos_gate,daily_loss_gate,enemy_gate,signal,decision,meta_json
2026-02-19T05:34:15.704176+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:16.322492+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:16.926153+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:17.542203+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:18.151959+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:18.743645+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:19.337934+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:19.939315+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:20.543998+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:21.147689+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:21.743375+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:22.325051+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:22.931368+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:23.546162+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:25.862815+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:26.502290+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:27.541225+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:28.130595+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:28.707427+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:29.308687+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:29.897131+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:30.488895+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:31.091284+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:31.687364+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:32.305558+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:32.917260+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:33.534733+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:34.155235+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:34.792144+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:35.405616+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:36.037200+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:36.619718+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:37.222752+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:37.820170+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,BUY,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:38.447834+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:39.045311+00:00,EUR_USD,ema_vwap,0,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:39.665073+00:00,EUR_USD,ema_vwap,1,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:40.316321+00:00,EUR_USD,ema_vwap,1,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:40.930401+00:00,EUR_USD,ema_vwap,1,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:41.559731+00:00,EUR_USD,ema_vwap,1,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:42.168874+00:00,EUR_USD,ema_vwap,1,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:42.832467+00:00,EUR_USD,ema_vwap,1,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:43.443170+00:00,EUR_USD,ema_vwap,1,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:44.069105+00:00,EUR_USD,ema_vwap,1,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:44.674889+00:00,EUR_USD,ema_vwap,1,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:45.303872+00:00,EUR_USD,ema_vwap,1,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:45.916419+00:00,EUR_USD,ema_vwap,1,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:46.495482+00:00,EUR_USD,ema_vwap,1,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:47.111647+00:00,EUR_USD,ema_vwap,1,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:47.737063+00:00,EUR_USD,ema_vwap,1,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:48.353810+00:00,EUR_USD,ema_vwap,1,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
2026-02-19T05:34:48.960859+00:00,EUR_USD,ema_vwap,1,1,1,1,1,1,HOLD,BLOCK,"{""spread_pips"": 1.0000000000021103}"
